angle_deg,target_torque_nm,optimized_torque_nm,abaqus_torque_nm_interpolated
0.0,0.18563830852508545,0.1855902075767517,3.91238734118171e-15
5.0,0.18563830852508545,0.18530786037445068,0.1964371266398658
10.0,0.18563830852508545,0.1852869987487793,0.1963901963097313
15.0,0.18563830852508545,0.18541854619979858,0.1963523739956886
20.0,0.18563830852508545,0.1858467012643814,0.19638363062774147
25.0,0.18563830852508545,0.18639452755451202,0.1964595215456526
30.0,0.18563830852508545,0.18701522052288055,0.19655841203075264
35.0,0.18563830852508545,0.18771345913410187,0.19666219568315196
40.0,0.18684756755828857,0.18837878108024597,0.19676777783631783
45.0,0.1883591264486313,0.18906152248382568,0.19687168827910112
50.0,0.1898707002401352,0.1897072046995163,0.1969736404499698
55.0,0.1913822740316391,0.1906404197216034,0.19707381002510957
60.0,0.192893847823143,0.19188785552978516,0.19722008024952922
65.0,0.1944054216146469,0.19328373670578003,0.19738340553200778
70.0,0.19591699540615082,0.19473733007907867,0.1975511671091341
75.0,0.19742856919765472,0.19612208008766174,0.19772011351252197
80.0,0.1986238658428192,0.1970430463552475,0.19785137685433077
85.0,0.19815877079963684,0.19773173332214355,0.1979672974930565
90.0,0.19769367575645447,0.19822844862937927,0.19801029893068886
95.0,0.1972285658121109,0.19780376553535461,0.19798187444195392
100.0,0.19676347076892853,0.19715198874473572,0.1979403606759835
105.0,0.19629837572574615,0.19626951217651367,0.19784119992547336
110.0,0.19583328068256378,0.19563889503479004,0.1977420391749632
115.0,0.19536817073822021,0.19524025917053223,0.19767613148818794
120.0,0.19490307569503784,0.19501395523548126,0.19762050980898963
125.0,0.19443798065185547,0.1949256956577301,0.19756721234268032
130.0,0.19434495270252228,0.19485482573509216,0.19752067629329703
135.0,0.19434495270252228,0.1948176622390747,0.19747414024391377
140.0,0.19434495270252228,0.19470170140266418,0.19743346420511768
145.0,0.19434495270252228,0.1946219652891159,0.19739558893038497
150.0,0.19434495270252228,0.1944756805896759,0.19735458080151175
155.0,0.19434495270252228,0.19402092695236206,0.19724255878570923
160.0,0.19434495270252228,0.1936010867357254,0.1971305367699067
165.0,0.19434495270252228,0.19337047636508942,0.1970636871754888
170.0,0.19434495270252228,0.19329507648944855,0.19707396568565466
175.0,0.19434495270252228,0.19339394569396973,0.19708424419582055
180.0,0.19434495270252228,0.19342541694641113,0.19706613531823391
185.0,0.1934812068939209,0.19349391758441925,0.19703435396765376
190.0,0.19261744618415833,0.19312000274658203,0.1970025726170736
195.0,0.19175368547439575,0.19223898649215698,0.1967327746932323
200.0,0.19088993966579437,0.19104884564876556,0.19645717052554956
205.0,0.1900261789560318,0.18980060517787933,0.1961971107917258
210.0,0.18916241824626923,0.18871235847473145,0.19597503771898694
215.0,0.18829867243766785,0.18778443336486816,0.1957529646462481
220.0,0.18743491172790527,0.18696030974388123,0.19558694367432367
225.0,0.1865711510181427,0.18636667728424072,0.19545319094927327
230.0,0.18570740520954132,0.18593186140060425,0.19532271064012893
235.0,0.18563830852508545,0.1855955719947815,0.195315715266436
240.0,0.18563830852508545,0.1855548918247223,0.1953087198927431
245.0,0.18563830852508545,0.18559923768043518,0.19530869126135575
250.0,0.18563830852508545,0.18561676144599915,0.19531620159607166
255.0,0.18563830852508545,0.18562130630016327,0.19532436530556221
260.0,0.18563830852508545,0.18564508855342865,0.19537927206536557
265.0,0.18563830852508545,0.1856955885887146,0.19543417882516892
270.0,0.18563830852508545,0.185695081949234,0.19553549820510802
275.0,0.18563830852508545,0.1861678957939148,0.19566277521200395
280.0,0.18563830852508545,0.18642351031303406,0.19577893557564585
285.0,0.1860615462064743,0.1867508888244629,0.19587671814974733
290.0,0.18656539916992188,0.18699011206626892,0.19596150231189627
295.0,0.18706925213336945,0.1874101310968399,0.19600360028647965
300.0,0.1875731199979782,0.18796151876449585,0.19605590956184743
305.0,0.18807697296142578,0.18860001862049103,0.1961438996269561
310.0,0.18858082592487335,0.18938584625720978,0.19624372692995407
315.0,0.18908469378948212,0.19008421897888184,0.1963651264555434
320.0,0.1895885467529297,0.19066503643989563,0.19650231132505103
325.0,0.18999162316322327,0.1910598874092102,0.19664720865134078
330.0,0.18999162316322327,0.19116784632205963,0.19677720800083068
335.0,0.18999162316322327,0.19070106744766235,0.19685654914836184
340.0,0.18999162316322327,0.18980267643928528,0.1968665720003409
345.0,0.18999162316322327,0.18869400024414062,0.1968084744340587
350.0,0.18999162316322327,0.1874668300151825,0.1967344651672954
355.0,0.18999162316322327,0.18637685477733612,0.19666145971620094
