time_s,rotation_rad_raw,rotation_rad,rotation_deg,python_angle_deg,reaction_moment_nmm,reaction_moment_nm,signed_resisting_torque_nmm,signed_resisting_torque_nm,friction_torque_nmm,friction_torque_nm,resisting_torque_nmm,resisting_torque_nm,u3_mm,rf3_n
0.0,0.0,0.0,0.0,-0.0,3.91238734118171e-12,3.91238734118171e-15,-3.91238734118171e-12,-3.91238734118171e-15,3.91238734118171e-12,3.91238734118171e-15,3.91238734118171e-12,3.91238734118171e-15,-2.00040194613393e-05,0.0
0.00999999977648258,-6.18931881035678e-05,-6.18931881035678e-05,-0.00354621845894375,0.00354621845894375,-47.659538269043,-0.047659538269043,47.659538269043,0.047659538269043,47.659538269043,0.047659538269043,47.659538269043,0.047659538269043,-2.00040176423499e-05,0.0
0.0199999995529652,-0.000487696175696328,-0.000487696175696328,-0.0279429325520703,0.0279429325520703,-193.959503173828,-0.193959503173828,193.959503173828,0.193959503173828,193.959503173828,0.193959503173828,193.959503173828,0.193959503173828,-2.00040103663923e-05,0.0
0.0350000001490116,-0.00255446694791317,-0.00255446694791317,-0.146360175021089,0.146360175021089,-196.542282104492,-0.196542282104492,196.542282104492,0.196542282104492,196.542282104492,0.196542282104492,196.542282104492,0.196542282104492,-2.00039703486254e-05,0.0
0.0549999997019768,-0.00961020402610302,-0.00961020402610302,-0.550624130955335,0.550624130955335,-196.565979003906,-0.196565979003906,196.565979003906,0.196565979003906,196.565979003906,0.196565979003906,196.565979003906,0.196565979003906,-2.00037775357487e-05,0.0
0.0750000029802322,-0.0236146096140146,-0.0236146096140146,-1.3530174657321,1.3530174657321,-196.529937744141,-0.196529937744141,196.529937744141,0.196529937744141,196.529937744141,0.196529937744141,196.529937744141,0.196529937744141,-2.00033446162706e-05,0.0
0.0949999988079071,-0.0464856624603271,-0.0464856624603271,-2.66343226684647,2.66343226684647,-196.484344482422,-0.196484344482422,196.484344482422,0.196484344482422,196.484344482422,0.196484344482422,196.484344482422,0.196484344482422,-2.00033882720163e-05,0.0
0.115000002086163,-0.0798337236046791,-0.0798337236046791,-4.57413542536205,4.57413542536205,-196.44319152832,-0.19644319152832,196.44319152832,0.19644319152832,196.44319152832,0.19644319152832,196.44319152832,0.19644319152832,-2.00042359210784e-05,0.0
0.135000005364418,-0.124975994229317,-0.124975994229317,-7.16059700979118,7.16059700979118,-196.406356811523,-0.196406356811523,196.406356811523,0.196406356811523,196.406356811523,0.196406356811523,196.406356811523,0.196406356811523,-2.00033955479739e-05,0.0
0.155000001192093,-0.182951018214226,-0.182951018214226,-10.4823212012962,10.4823212012962,-196.387451171875,-0.196387451171875,196.387451171875,0.196387451171875,196.387451171875,0.196387451171875,196.387451171875,0.196387451171875,-2.00043759832624e-05,0.0
0.174999997019768,-0.254533141851425,-0.254533141851425,-14.5836747742914,14.5836747742914,-196.350189208984,-0.196350189208984,196.350189208984,0.196350189208984,196.350189208984,0.196350189208984,196.350189208984,0.196350189208984,-2.00038102775579e-05,0.0
0.194999992847443,-0.340246945619583,-0.340246945619583,-19.4947139762193,19.4947139762193,-196.375961303711,-0.196375961303711,196.375961303711,0.196375961303711,196.375961303711,0.196375961303711,196.375961303711,0.196375961303711,-2.00036174646812e-05,0.0
0.215000003576279,-0.440381854772568,-0.440381854772568,-25.2320216526113,25.2320216526113,-196.463043212891,-0.196463043212891,196.463043212891,0.196463043212891,196.463043212891,0.196463043212891,196.463043212891,0.196463043212891,-2.00037720787805e-05,0.0
0.234999999403954,-0.555006504058838,-0.555006504058838,-31.7995302848818,31.7995302848818,-196.59440612793,-0.19659440612793,196.59440612793,0.19659440612793,196.59440612793,0.19659440612793,196.59440612793,0.19659440612793,-2.00042359210784e-05,0.0
0.254999995231628,-0.683983147144318,-0.683983147144318,-39.189347589445,39.189347589445,-196.750930786133,-0.196750930786133,196.750930786133,0.196750930786133,196.750930786133,0.196750930786133,196.750930786133,0.196750930786133,-2.0004950783914e-05,0.0
0.275000005960464,-0.826982319355011,-0.826982319355011,-47.3825966309821,47.3825966309821,-196.921203613281,-0.196921203613281,196.921203613281,0.196921203613281,196.921203613281,0.196921203613281,196.921203613281,0.196921203613281,-2.00043195945909e-05,0.0
0.294999986886978,-0.983497202396393,-0.983497202396393,-56.350238860237,56.350238860237,-197.100860595703,-0.197100860595703,197.100860595703,0.197100860595703,197.100860595703,0.197100860595703,197.100860595703,0.197100860595703,-2.00048125407193e-05,0.0
0.314999997615814,-1.15285813808441,-1.15285813808441,-66.0539056895471,66.0539056895471,-197.417831420898,-0.197417831420898,197.417831420898,0.197417831420898,197.417831420898,0.197417831420898,197.417831420898,0.197417831420898,-2.00040467461804e-05,0.0
0.33500000834465,-1.33424699306488,-1.33424699306488,-76.4467215306385,76.4467215306385,-197.768997192383,-0.197768997192383,197.768997192383,0.197768997192383,197.768997192383,0.197768997192383,197.768997192383,0.197768997192383,-2.00032263819594e-05,0.0
0.354999989271164,-1.5267117023468,-1.5267117023468,-87.4741370777049,87.4741370777049,-198.024658203125,-0.198024658203125,198.024658203125,0.198024658203125,198.024658203125,0.198024658203125,198.024658203125,0.198024658203125,-2.00036865862785e-05,0.0
0.375,-1.72918117046356,-1.72918117046356,-99.0747830810539,99.0747830810539,-197.958709716797,-0.197958709716797,197.958709716797,0.197958709716797,197.958709716797,0.197958709716797,197.958709716797,0.197958709716797,-2.00041940843221e-05,0.0
0.395000010728836,-1.94047868251801,-1.94047868251801,-111.181238743388,111.181238743388,-197.718612670898,-0.197718612670898,197.718612670898,0.197718612670898,197.718612670898,0.197718612670898,197.718612670898,0.197718612670898,-2.00049307750305e-05,0.0
0.41499999165535,-2.15933775901794,-2.15933775901794,-123.720940134965,123.720940134965,-197.579116821289,-0.197579116821289,197.579116821289,0.197579116821289,197.579116821289,0.197579116821289,197.579116821289,0.197579116821289,-2.00065533135785e-05,0.0
0.435000002384186,-2.38441514968872,-2.38441514968872,-136.616924684218,136.616924684218,-197.459091186523,-0.197459091186523,197.459091186523,0.197459091186523,197.459091186523,0.197459091186523,197.459091186523,0.197459091186523,-2.00069498532685e-05,0.0
0.455000013113022,-2.61430668830872,-2.61430668830872,-149.788739592913,149.788739592913,-197.359313964844,-0.197359313964844,197.359313964844,0.197359313964844,197.359313964844,0.197359313964844,197.359313964844,0.197359313964844,-2.00067734112963e-05,0.0
0.474999994039536,-2.84756088256836,-2.84756088256836,-163.153220477715,163.153220477715,-197.05989074707,-0.19705989074707,197.05989074707,0.19705989074707,197.05989074707,0.19705989074707,197.05989074707,0.19705989074707,-2.00066988327308e-05,0.0
0.495000004768372,-3.0826940536499,-3.0826940536499,-176.625358804215,176.625358804215,-197.087585449219,-0.197087585449219,197.087585449219,0.197087585449219,197.087585449219,0.197087585449219,197.087585449219,0.197087585449219,-2.00063823285745e-05,0.0
0.514999985694885,-3.31820368766785,-3.31820368766785,-190.119066868114,190.119066868114,-197.001815795898,-0.197001815795898,197.001815795898,0.197001815795898,197.001815795898,0.197001815795898,197.001815795898,0.197001815795898,-2.00072827283293e-05,0.0
0.535000026226044,-3.55258440971375,-3.55258440971375,-203.548093040572,203.548093040572,-196.261596679688,-0.196261596679688,196.261596679688,0.196261596679688,196.261596679688,0.196261596679688,196.261596679688,0.196261596679688,-2.00069971469929e-05,0.0
0.555000007152557,-3.78434109687805,-3.78434109687805,-216.826773089021,216.826773089021,-195.671829223633,-0.195671829223633,195.671829223633,0.195671829223633,195.671829223633,0.195671829223633,195.671829223633,0.195671829223633,-2.00069171114592e-05,0.0
0.574999988079071,-4.01200437545776,-4.01200437545776,-229.87091810175,229.87091810175,-195.322891235352,-0.195322891235352,195.322891235352,0.195322891235352,195.322891235352,0.195322891235352,195.322891235352,0.195322891235352,-2.00072790903505e-05,0.0
0.595000028610229,-4.23414468765259,-4.23414468765259,-242.598620450231,242.598620450231,-195.305084228516,-0.195305084228516,195.305084228516,0.195305084228516,195.305084228516,0.195305084228516,195.305084228516,0.195305084228516,-2.00061385839945e-05,0.0
0.615000009536743,-4.44938659667969,-4.44938659667969,-254.931073411823,254.931073411823,-195.323608398438,-0.195323608398438,195.323608398438,0.195323608398438,195.323608398438,0.195323608398438,195.323608398438,0.195323608398438,-2.00052909349324e-05,0.0
0.634999990463257,-4.65642309188843,-4.65642309188843,-266.793390792464,266.793390792464,-195.453872680664,-0.195453872680664,195.453872680664,0.195453872680664,195.453872680664,0.195453872680664,195.453872680664,0.195453872680664,-2.00052782020066e-05,0.0
0.654999971389771,-4.85403060913086,-4.85403060913086,-278.115467530514,278.115467530514,-195.742080688477,-0.195742080688477,195.742080688477,0.195742080688477,195.742080688477,0.195742080688477,195.742080688477,0.195742080688477,-2.00056038011098e-05,0.0
0.675000011920929,-5.04108428955078,-5.04108428955078,-288.832853960965,288.832853960965,-195.951675415039,-0.195951675415039,195.951675415039,0.195951675415039,195.951675415039,0.195951675415039,195.951675415039,0.195951675415039,-2.00055274035549e-05,0.0
0.694999992847443,-5.21657037734985,-5.21657037734985,-298.887466155114,298.887466155114,-196.036331176758,-0.196036331176758,196.036331176758,0.196036331176758,196.036331176758,0.196036331176758,196.036331176758,0.196036331176758,-2.00042923097499e-05,0.0
0.714999973773956,-5.37960147857666,-5.37960147857666,-308.22846018478,308.22846018478,-196.200714111328,-0.196200714111328,196.200714111328,0.196200714111328,196.200714111328,0.196200714111328,196.200714111328,0.196200714111328,-2.00039994524559e-05,0.0
0.735000014305115,-5.52943229675293,-5.52943229675293,-316.813133707272,316.813133707272,-196.409149169922,-0.196409149169922,196.409149169922,0.196409149169922,196.409149169922,0.196409149169922,196.409149169922,0.196409149169922,-2.00028607650893e-05,0.0
0.754999995231628,-5.66547298431396,-5.66547298431396,-324.607690946577,324.607690946577,-196.637008666992,-0.196637008666992,196.637008666992,0.196637008666992,196.637008666992,0.196637008666992,196.637008666992,0.196637008666992,-2.00034046429209e-05,0.0
0.774999976158142,-5.78730297088623,-5.78730297088623,-331.588034995304,331.588034995304,-196.818496704102,-0.196818496704102,196.818496704102,0.196818496704102,196.818496704102,0.196818496704102,196.818496704102,0.196818496704102,-2.00030317500932e-05,0.0
0.795000016689301,-5.89468765258789,-5.89468765258789,-337.740724041165,337.740724041165,-196.887115478516,-0.196887115478516,196.887115478516,0.196887115478516,196.887115478516,0.196887115478516,196.887115478516,0.196887115478516,-2.00030190171674e-05,0.0
0.814999997615814,-5.98758983612061,-5.98758983612061,-343.063627065139,343.063627065139,-196.838714599609,-0.196838714599609,196.838714599609,0.196838714599609,196.838714599609,0.196838714599609,196.838714599609,0.196838714599609,-2.00033045985037e-05,0.0
0.834999978542328,-6.06618738174438,-6.06618738174438,-347.566934709468,347.566934709468,-196.76838684082,-0.19676838684082,196.76838684082,0.19676838684082,196.76838684082,0.19676838684082,196.76838684082,0.19676838684082,-2.00036083697341e-05,0.0
0.855000019073486,-6.13088512420654,-6.13088512420654,-351.273842296574,351.273842296574,-196.716705322266,-0.196716705322266,196.716705322266,0.196716705322266,196.716705322266,0.196716705322266,196.716705322266,0.196716705322266,-2.00030663108919e-05,0.0
0.875,-6.18233060836792,-6.18233060836792,-354.221451414028,354.221451414028,-196.67822265625,-0.19667822265625,196.67822265625,0.19667822265625,196.67822265625,0.19667822265625,196.67822265625,0.19667822265625,-2.00037666218122e-05,0.0
0.894999980926514,-6.22142887115479,-6.22142887115479,-356.461616858009,356.461616858009,-196.629989624023,-0.196629989624023,196.629989624023,0.196629989624023,196.629989624023,0.196629989624023,196.629989624023,0.196629989624023,-2.00032554857899e-05,0.0
0.915000021457672,-6.24935579299927,-6.24935579299927,-358.06171161449,358.06171161449,-196.5908203125,-0.1965908203125,196.5908203125,0.1965908203125,196.5908203125,0.1965908203125,196.5908203125,0.1965908203125,-2.00039394258056e-05,0.0
0.935000002384186,-6.26757335662842,-6.26757335662842,-359.105501123451,359.105501123451,-196.576812744141,-0.196576812744141,196.576812744141,0.196576812744141,196.576812744141,0.196576812744141,196.576812744141,0.196576812744141,-2.00042159121949e-05,0.0
0.954999983310699,-6.27784395217896,-6.27784395217896,-359.693962901583,359.693962901583,-196.564819335938,-0.196564819335938,196.564819335938,0.196564819335938,196.564819335938,0.196564819335938,196.564819335938,0.196564819335938,-2.00041195057565e-05,0.0
